,Month,Day,Year,Bus Number,School,To/From,Time,Unit,Data Taken Month,Data Taken Day,Data Taken Year,Data Taken Hour,Data Taken Minute
0,December,21,2018,3,Adams,from,20,minutes,1,1,2019,20,51
1,December,21,2018,120,Loyal Heights,from,20,minutes,1,1,2019,20,51
2,December,21,2018,630,Queen Anne,from,20,minutes,1,1,2019,20,51
3,December,21,2018,148,Northgate,from,10,minutes,1,1,2019,20,51
4,December,21,2018,799,Gatzert,from,120,minutes,1,1,2019,20,51
5,December,21,2018,462,Washington,from,60,minutes,1,1,2019,20,51
6,December,21,2018,792,Kimball,from,120,minutes,1,1,2019,20,51
7,December,21,2018,402,Cleveland,from,60,minutes,1,1,2019,20,51
8,December,21,2018,624,Fairmount Park,from,120,minutes,1,1,2019,20,51
9,December,21,2018,464,Washington,from,60,minutes,1,1,2019,20,51
10,December,21,2018,795,Leschi,from,120,minutes,1,1,2019,20,51
11,December,21,2018,456,Meany,from,60,minutes,1,1,2019,20,51
12,December,21,2018,327,Washington,from,60,minutes,1,1,2019,20,51
13,December,21,2018,130,Maple,from,120,minutes,1,1,2019,20,51
14,December,21,2018,36,Dearborn Park,from,120,minutes,1,1,2019,20,51
15,December,21,2018,213,Viewlands,from,120,minutes,1,1,2019,20,51
16,December,21,2018,79,John Hay,from,60,minutes,1,1,2019,20,51
17,December,21,2018,317,Meany,from,60,minutes,1,1,2019,20,51
18,December,21,2018,576,TOPS,from,20,minutes,1,1,2019,20,51
19,December,21,2018,3,Adams,from,20,minutes,1,1,2019,21,6
20,December,21,2018,120,Loyal Heights,from,20,minutes,1,1,2019,21,6
21,December,21,2018,630,Queen Anne,from,20,minutes,1,1,2019,21,6
22,December,21,2018,148,Northgate,from,10,minutes,1,1,2019,21,6
23,December,21,2018,799,Gatzert,from,120,minutes,1,1,2019,21,6
24,December,21,2018,462,Washington,from,60,minutes,1,1,2019,21,6
25,December,21,2018,792,Kimball,from,120,minutes,1,1,2019,21,6
26,December,21,2018,402,Cleveland,from,60,minutes,1,1,2019,21,6
27,December,21,2018,624,Fairmount Park,from,120,minutes,1,1,2019,21,6
28,December,21,2018,464,Washington,from,60,minutes,1,1,2019,21,6
29,December,21,2018,795,Leschi,from,120,minutes,1,1,2019,21,6
30,December,21,2018,456,Meany,from,60,minutes,1,1,2019,21,6
31,December,21,2018,327,Washington,from,60,minutes,1,1,2019,21,6
32,December,21,2018,130,Maple,from,120,minutes,1,1,2019,21,6
33,December,21,2018,36,Dearborn Park,from,120,minutes,1,1,2019,21,6
34,December,21,2018,213,Viewlands,from,120,minutes,1,1,2019,21,6
35,December,21,2018,79,John Hay,from,60,minutes,1,1,2019,21,6
36,December,21,2018,317,Meany,from,60,minutes,1,1,2019,21,6
37,December,21,2018,576,TOPS,from,20,minutes,1,1,2019,21,6
38,December,21,2018,3,Adams,from,20,minutes,1,1,2019,21,14
39,December,21,2018,120,Loyal Heights,from,20,minutes,1,1,2019,21,14
40,December,21,2018,630,Queen Anne,from,20,minutes,1,1,2019,21,14
41,December,21,2018,148,Northgate,from,10,minutes,1,1,2019,21,14
42,December,21,2018,799,Gatzert,from,120,minutes,1,1,2019,21,14
43,December,21,2018,462,Washington,from,60,minutes,1,1,2019,21,14
44,December,21,2018,792,Kimball,from,120,minutes,1,1,2019,21,14
45,December,21,2018,402,Cleveland,from,60,minutes,1,1,2019,21,14
46,December,21,2018,624,Fairmount Park,from,120,minutes,1,1,2019,21,14
47,December,21,2018,464,Washington,from,60,minutes,1,1,2019,21,14
48,December,21,2018,795,Leschi,from,120,minutes,1,1,2019,21,14
49,December,21,2018,456,Meany,from,60,minutes,1,1,2019,21,14
50,December,21,2018,327,Washington,from,60,minutes,1,1,2019,21,14
51,December,21,2018,130,Maple,from,120,minutes,1,1,2019,21,14
52,December,21,2018,36,Dearborn Park,from,120,minutes,1,1,2019,21,14
53,December,21,2018,213,Viewlands,from,120,minutes,1,1,2019,21,14
54,December,21,2018,79,John Hay,from,60,minutes,1,1,2019,21,14
55,December,21,2018,317,Meany,from,60,minutes,1,1,2019,21,14
56,December,21,2018,576,TOPS,from,20,minutes,1,1,2019,21,14
